shipment_id,export_country,import_country,commodity,hs_code,quantity,declared_value_usd,transport_mode,departure_port,arrival_port,transit_time_days,delay_status,contract_value_usd,payment_terms,currency_exchange_rate,market_price_per_unit,price_volatility_index,anomaly_flag
SHP00036,China,South Africa,Electronics,843890,2574,87989,Ship,Shenzhen,Mombasa,8,On-Time,88757,Prepaid,66.79,995.6,0.28,1
SHP00037,China,Ethiopia,Textiles,260300,656,129019,Air,Beijing,Dar es Salaam,23,On-Time,129203,Credit,23.21,512.63,0.28,0
SHP00038,China,Ethiopia,Agricultural,100610,619,108746,Air,Beijing,Tema,26,On-Time,109712,Credit,69.32,424.55,0.26,1
SHP00039,China,South Africa,Machinery,847130,1459,110864,Air,Shanghai,Lagos,31,On-Time,110401,On Delivery,56.99,2601.88,0.46,1
SHP00040,China,Ghana,Minerals,843890,3000,115627,Ship,Shenzhen,Lagos,22,On-Time,115138,On Delivery,28.68,157.05,0.44,1
SHP00041,China,South Africa,Textiles,100610,1216,149475,Air,Qingdao,Tema,36,On-Time,149201,Prepaid,47.53,987.82,0.09,0
SHP00042,China,Ethiopia,Textiles,260300,3311,27677,Rail,Beijing,Tema,24,On-Time,27358,Prepaid,57.85,1083.77,0.07,0
SHP00043,China,Nigeria,Textiles,100610,3174,8051,Rail,Beijing,Addis Ababa,7,On-Time,7824,On Delivery,5.04,1596.41,0.27,0
SHP00044,China,Ghana,Machinery,520942,4414,22019,Ship,Guangzhou,Mombasa,32,On-Time,21138,On Delivery,20.05,1319.72,0.05,0
SHP00045,China,South Africa,Agricultural,260300,790,37217,Rail,Qingdao,Cairo,25,On-Time,38148,Prepaid,29.51,524.02,0.09,0
SHP00046,China,Kenya,Agricultural,520942,2899,143877,Road,Beijing,Dar es Salaam,27,On-Time,144785,On Delivery,45.22,1552.51,0.33,0
SHP00047,China,Nigeria,Agricultural,100610,630,118429,Ship,Shanghai,Addis Ababa,31,On-Time,118528,Credit,40.27,480.15,0.07,0
SHP00048,China,Nigeria,Agricultural,260300,3406,14435,Air,Guangzhou,Lagos,7,On-Time,13528,Credit,60.1,2112.46,0.24,0
SHP00049,China,South Africa,Textiles,843890,2315,126172,Rail,Beijing,Lagos,38,On-Time,126929,On Delivery,46.01,148.94,0.48,1
SHP00050,China,Ghana,Textiles,260300,2899,131131,Ship,Guangzhou,Cairo,33,On-Time,131813,Credit,35.96,2570.19,0.33,0
SHP00051,China,Egypt,Agricultural,847130,4661,32663,Rail,Qingdao,Durban,26,Delayed,31920,Credit,3.32,1759.4,0.47,1
SHP00052,China,Tanzania,Agricultural,843890,1737,16938,Air,Shenzhen,Dar es Salaam,35,On-Time,16628,On Delivery,57.71,1879.69,0.41,1
SHP00053,China,Tanzania,Agricultural,520942,3963,87986,Ship,Qingdao,Dar es Salaam,31,On-Time,88616,Credit,27.34,121.69,0.31,0
SHP00054,China,Nigeria,Textiles,843890,2824,98008,Air,Qingdao,Addis Ababa,28,On-Time,98953,Credit,48.19,1025.17,0.14,0
SHP00055,China,Kenya,Minerals,520942,4024,8267,Rail,Beijing,Mombasa,13,Delayed,8710,Prepaid,30.13,2902.9,0.28,0
SHP00056,China,Nigeria,Electronics,843890,2554,52295,Air,Shanghai,Dar es Salaam,37,Delayed,52866,Credit,26.98,2330.36,0.18,1
SHP00057,China,Tanzania,Agricultural,843890,4182,49811,Ship,Shanghai,Addis Ababa,15,On-Time,49677,Credit,8.56,2708.15,0.26,0
SHP00058,China,Egypt,Electronics,260300,778,124180,Rail,Guangzhou,Durban,21,On-Time,123575,On Delivery,67.16,2542.19,0.18,1
SHP00059,China,Egypt,Minerals,843890,1869,56934,Ship,Shenzhen,Durban,21,On-Time,56077,Prepaid,32.22,883.17,0.17,0
SHP00060,China,South Africa,Textiles,260300,2988,92508,Air,Beijing,Lagos,38,Delayed,92675,Credit,55.59,278.16,0.25,1
SHP00061,China,Kenya,Minerals,100610,3032,93461,Rail,Guangzhou,Lagos,33,On-Time,93647,Credit,62.31,1055.99,0.07,0
SHP00062,China,Ghana,Agricultural,260300,1003,6542,Rail,Shanghai,Dar es Salaam,15,On-Time,6958,Credit,57.8,2120.2,0.05,0
SHP00063,China,Kenya,Textiles,843890,3286,59693,Rail,Qingdao,Mombasa,21,On-Time,60081,On Delivery,26.89,2439.33,0.47,1
SHP00064,China,South Africa,Minerals,843890,4362,137396,Road,Shenzhen,Mombasa,6,On-Time,137671,Credit,7.22,2332.56,0.28,0
SHP00065,China,Ethiopia,Machinery,520942,4236,30289,Ship,Shanghai,Lagos,28,On-Time,30438,On Delivery,35.24,39.0,0.24,0
SHP00066,China,Ghana,Agricultural,843890,1131,35355,Air,Qingdao,Tema,30,On-Time,35249,On Delivery,45.97,2239.4,0.3,0
SHP00067,China,Ghana,Agricultural,843890,4335,71040,Rail,Beijing,Durban,27,Delayed,70973,On Delivery,31.39,2407.32,0.49,1
SHP00068,China,Ethiopia,Textiles,520942,1902,133148,Ship,Shanghai,Addis Ababa,18,On-Time,132350,Prepaid,64.46,762.71,0.35,0
SHP00069,China,Ethiopia,Machinery,847130,3562,119065,Road,Guangzhou,Addis Ababa,16,On-Time,119601,Credit,44.49,1755.02,0.45,1
SHP00070,China,South Africa,Textiles,843890,1403,147047,Air,Guangzhou,Mombasa,18,Delayed,147018,Credit,8.81,1010.3,0.09,0
SHP00071,China,Ghana,Minerals,843890,4235,107023,Ship,Beijing,Durban,30,On-Time,106063,On Delivery,19.31,1362.46,0.03,0
SHP00072,China,Nigeria,Machinery,847130,2558,102007,Rail,Shenzhen,Dar es Salaam,31,On-Time,102577,Credit,57.84,2849.65,0.37,0
SHP00073,China,Tanzania,Electronics,100610,1888,134473,Air,Qingdao,Tema,12,Delayed,134738,Credit,39.28,498.68,0.21,0
SHP00074,China,South Africa,Machinery,100610,4519,32712,Rail,Qingdao,Cairo,20,Delayed,31888,Prepaid,27.31,2249.99,0.2,0
SHP00075,China,Nigeria,Electronics,260300,4834,51540,Air,Shenzhen,Durban,35,On-Time,51662,On Delivery,10.67,45.95,0.05,0
SHP00076,China,Egypt,Agricultural,100610,4621,103142,Air,Shanghai,Lagos,7,Delayed,103602,Credit,41.58,2179.73,0.38,0
SHP00077,China,South Africa,Agricultural,843890,4228,149528,Ship,Beijing,Mombasa,23,On-Time,150429,Prepaid,18.72,827.82,0.11,0
SHP00078,China,Ethiopia,Minerals,847130,4594,42744,Road,Beijing,Tema,34,On-Time,41838,Credit,9.28,2016.36,0.26,0
SHP00079,China,Kenya,Electronics,100610,2215,54922,Air,Shanghai,Addis Ababa,14,Delayed,54157,On Delivery,39.92,2630.58,0.21,0
SHP00080,China,South Africa,Minerals,843890,4769,24198,Ship,Qingdao,Lagos,25,On-Time,24050,Prepaid,45.3,2416.11,0.45,1
SHP00081,China,Ghana,Electronics,843890,4909,11949,Road,Qingdao,Addis Ababa,36,On-Time,12307,On Delivery,31.47,2712.96,0.18,0
SHP00082,China,Ghana,Minerals,260300,4311,102239,Road,Qingdao,Dar es Salaam,17,On-Time,101997,Credit,37.37,2094.44,0.4,0
SHP00083,China,Egypt,Machinery,100610,187,60479,Rail,Shanghai,Tema,19,On-Time,61010,On Delivery,6.04,142.35,0.31,0
SHP00084,China,Kenya,Machinery,100610,4350,109573,Rail,Shanghai,Addis Ababa,13,On-Time,109333,Prepaid,33.02,1756.37,0.21,0
SHP00085,China,Nigeria,Agricultural,843890,949,130827,Air,Beijing,Addis Ababa,27,Delayed,131045,On Delivery,36.79,2919.47,0.3,0
SHP00086,China,Tanzania,Machinery,843890,3172,62108,Road,Shanghai,Mombasa,7,On-Time,61789,Prepaid,13.63,270.66,0.07,0
SHP00087,China,Kenya,Minerals,260300,573,56745,Ship,Beijing,Cairo,16,On-Time,57691,On Delivery,4.19,2399.23,0.32,0
SHP00088,China,Nigeria,Agricultural,847130,2336,123831,Air,Shenzhen,Cairo,19,On-Time,124111,Prepaid,7.29,1793.85,0.49,1
SHP00089,China,Kenya,Textiles,520942,352,136127,Ship,Shenzhen,Durban,24,On-Time,135154,Prepaid,26.77,1390.29,0.38,0
SHP00090,China,Ghana,Machinery,847130,4671,141198,Ship,Qingdao,Mombasa,5,Delayed,140947,Credit,52.85,96.26,0.43,1
SHP00091,China,Ghana,Textiles,847130,1956,51271,Air,Qingdao,Durban,27,On-Time,50298,Credit,2.87,969.63,0.11,0
SHP00092,China,Ethiopia,Electronics,847130,175,52915,Ship,Shanghai,Mombasa,27,Delayed,53150,Credit,33.97,1068.54,0.33,0
SHP00093,China,Egypt,Agricultural,843890,1219,31734,Air,Shenzhen,Dar es Salaam,38,On-Time,30767,Prepaid,39.71,1761.67,0.29,0
SHP00094,China,South Africa,Electronics,260300,2522,53447,Rail,Guangzhou,Lagos,36,On-Time,52761,On Delivery,69.08,1819.3,0.13,1
SHP00095,China,Tanzania,Electronics,260300,2759,121421,Air,Guangzhou,Cairo,8,On-Time,120936,Credit,59.78,268.22,0.4,0
SHP00096,China,Kenya,Minerals,520942,3785,129040,Air,Beijing,Tema,5,On-Time,129103,On Delivery,49.24,2991.78,0.45,1
SHP00097,China,Tanzania,Textiles,100610,517,127883,Air,Qingdao,Durban,17,Delayed,127763,Prepaid,35.12,2170.07,0.41,1
SHP00098,China,Ethiopia,Machinery,100610,4339,5846,Ship,Beijing,Tema,13,On-Time,6304,Prepaid,58.94,619.21,0.48,1
SHP00099,China,Ghana,Electronics,100610,1860,132534,Air,Guangzhou,Cairo,3,On-Time,131853,On Delivery,7.48,1520.78,0.47,1
SHP00100,China,Kenya,Agricultural,843890,2076,52362,Road,Shanghai,Tema,35,On-Time,51371,On Delivery,39.08,1649.02,0.11,0
SHP00101,China,Egypt,Textiles,260300,3763,13512,Road,Beijing,Addis Ababa,39,On-Time,13288,Prepaid,42.3,1417.37,0.21,0
SHP00102,China,South Africa,Minerals,100610,3727,47078,Air,Shanghai,Durban,7,Delayed,46313,On Delivery,29.48,2799.15,0.5,1
SHP00103,China,Tanzania,Agricultural,843890,2685,78698,Rail,Qingdao,Dar es Salaam,37,Delayed,79041,Prepaid,40.85,2526.28,0.08,1
SHP00104,China,South Africa,Electronics,520942,922,63596,Ship,Beijing,Lagos,16,On-Time,63910,Credit,12.75,2444.65,0.34,0
SHP00105,China,Kenya,Agricultural,260300,2671,25611,Rail,Shanghai,Lagos,27,Delayed,24699,Prepaid,48.28,1358.59,0.36,0
SHP00106,China,Egypt,Minerals,100610,3812,78340,Road,Shanghai,Lagos,35,On-Time,77482,Credit,41.06,1069.31,0.2,0
SHP00107,China,South Africa,Minerals,520942,4083,132796,Rail,Guangzhou,Tema,8,Delayed,132186,Credit,51.54,2082.68,0.09,0
SHP00108,China,Kenya,Agricultural,847130,2085,30053,Air,Guangzhou,Cairo,29,On-Time,29602,Credit,53.04,2122.41,0.39,0
SHP00109,China,Nigeria,Agricultural,843890,2386,108677,Rail,Shanghai,Lagos,6,On-Time,109222,Prepaid,35.34,2265.13,0.06,0
SHP00110,China,Ghana,Agricultural,260300,4960,76907,Road,Shenzhen,Mombasa,26,On-Time,75921,Prepaid,56.11,454.0,0.12,0
SHP00111,China,Kenya,Machinery,843890,2941,139828,Rail,Shanghai,Lagos,4,On-Time,139454,Prepaid,49.04,1630.46,0.13,0
SHP00112,China,Kenya,Electronics,520942,2166,76315,Rail,Shanghai,Tema,13,Delayed,76186,Credit,41.46,1205.55,0.24,0
SHP00113,China,South Africa,Minerals,260300,2399,95474,Air,Shanghai,Addis Ababa,14,Delayed,96113,Credit,36.15,1836.31,0.02,0
SHP00114,China,Ethiopia,Agricultural,100610,877,32306,Air,Beijing,Durban,14,On-Time,32313,On Delivery,49.22,2767.89,0.36,0
SHP00115,China,Kenya,Textiles,847130,3227,32632,Road,Beijing,Durban,30,On-Time,33560,On Delivery,30.55,2210.65,0.47,1
SHP00116,China,Ghana,Agricultural,520942,3847,149790,Ship,Guangzhou,Durban,3,On-Time,150218,Prepaid,12.84,563.03,0.42,1
SHP00117,China,Ethiopia,Minerals,520942,3122,105158,Rail,Shenzhen,Addis Ababa,17,On-Time,105126,On Delivery,52.48,620.71,0.4,0
SHP00118,China,Ethiopia,Minerals,843890,624,68731,Rail,Shanghai,Durban,27,Delayed,69560,Credit,25.22,1044.12,0.37,0
SHP00119,China,South Africa,Machinery,100610,3650,142855,Road,Shanghai,Cairo,26,On-Time,143058,Credit,30.2,2744.96,0.19,0
SHP00120,China,Egypt,Textiles,843890,4208,9757,Ship,Shanghai,Dar es Salaam,28,On-Time,10249,On Delivery,36.79,2926.75,0.23,0
SHP00121,China,South Africa,Electronics,843890,4293,57853,Ship,Guangzhou,Addis Ababa,24,On-Time,58577,Prepaid,14.14,902.29,0.16,0
SHP00122,China,Egypt,Electronics,843890,1039,97374,Road,Shanghai,Addis Ababa,21,On-Time,97043,Credit,14.56,114.47,0.24,0
SHP00123,China,Ethiopia,Textiles,847130,3545,69077,Road,Qingdao,Dar es Salaam,4,On-Time,69213,Credit,28.95,1681.12,0.09,0
SHP00124,China,South Africa,Machinery,843890,3385,134948,Road,Shanghai,Durban,5,On-Time,135429,Credit,62.97,1582.1,0.4,0
SHP00125,China,Egypt,Agricultural,260300,104,110947,Rail,Qingdao,Lagos,34,On-Time,111319,Prepaid,29.45,1657.41,0.13,0
SHP00126,China,South Africa,Textiles,520942,2540,68230,Rail,Shenzhen,Lagos,10,On-Time,68492,Prepaid,40.51,2662.94,0.28,0
SHP00127,China,Egypt,Minerals,520942,2193,92127,Ship,Shenzhen,Cairo,16,On-Time,91940,Credit,58.37,1194.56,0.34,0
SHP00128,China,Tanzania,Machinery,260300,872,52057,Ship,Shenzhen,Cairo,9,On-Time,52753,Credit,15.74,84.46,0.1,0
SHP00129,China,Ethiopia,Electronics,843890,1358,123865,Rail,Beijing,Cairo,4,Delayed,123573,Credit,24.91,781.97,0.2,0
SHP00130,China,Egypt,Machinery,520942,4616,121243,Rail,Shenzhen,Mombasa,7,On-Time,121522,Prepaid,39.32,1311.2,0.15,0
SHP00131,China,Ethiopia,Electronics,843890,3627,24063,Air,Shenzhen,Durban,25,On-Time,23783,Credit,34.71,1539.81,0.37,0
SHP00132,China,Tanzania,Minerals,260300,4083,104608,Air,Guangzhou,Durban,11,On-Time,104866,On Delivery,30.39,401.17,0.45,1
SHP00133,China,Ethiopia,Textiles,520942,2707,131678,Air,Guangzhou,Lagos,39,On-Time,131847,Credit,37.78,2446.09,0.25,0
SHP00134,China,Ethiopia,Textiles,520942,2131,126829,Air,Guangzhou,Tema,14,On-Time,127726,Prepaid,11.09,794.73,0.14,0
SHP00135,China,Nigeria,Electronics,847130,4876,9263,Air,Shanghai,Lagos,36,On-Time,9083,On Delivery,13.51,2743.66,0.22,0
SHP00136,China,Tanzania,Textiles,520942,4847,133575,Road,Qingdao,Dar es Salaam,4,On-Time,133961,On Delivery,14.13,275.56,0.39,0
SHP00137,China,Tanzania,Textiles,843890,4174,62492,Road,Shenzhen,Addis Ababa,13,On-Time,63027,On Delivery,64.21,2165.99,0.31,0
SHP00138,China,Nigeria,Machinery,520942,1383,9853,Rail,Shenzhen,Lagos,24,On-Time,10165,On Delivery,19.99,1621.83,0.09,0
SHP00139,China,Egypt,Electronics,100610,3970,126789,Rail,Shanghai,Dar es Salaam,36,On-Time,127262,Credit,8.8,230.04,0.37,0
SHP00140,China,Kenya,Textiles,260300,1290,136132,Road,Qingdao,Tema,27,On-Time,135262,Credit,6.83,12.01,0.48,1
SHP00141,China,Kenya,Agricultural,847130,4247,93929,Road,Beijing,Mombasa,14,On-Time,93996,Credit,56.81,2886.49,0.4,0
SHP00142,China,Ethiopia,Minerals,843890,3690,99006,Air,Shenzhen,Addis Ababa,14,On-Time,98221,Credit,53.45,1918.65,0.38,0
SHP00143,China,Ghana,Machinery,520942,2471,110423,Road,Qingdao,Addis Ababa,8,Delayed,109888,On Delivery,35.03,667.52,0.49,1
SHP00144,China,Nigeria,Machinery,520942,96,42641,Air,Shenzhen,Addis Ababa,18,Delayed,43583,On Delivery,39.57,1422.26,0.16,0
SHP00145,China,Nigeria,Minerals,520942,4480,144892,Road,Shanghai,Mombasa,9,On-Time,144579,On Delivery,9.4,1268.18,0.4,0
SHP00146,China,Egypt,Machinery,260300,3344,56571,Rail,Qingdao,Lagos,37,On-Time,57084,Credit,45.65,1952.25,0.19,0
SHP00147,China,South Africa,Machinery,100610,2717,101443,Rail,Beijing,Durban,36,Delayed,101637,On Delivery,24.78,2175.68,0.04,1
SHP00148,China,Egypt,Textiles,100610,4009,11640,Air,Shenzhen,Tema,6,On-Time,11560,Prepaid,52.04,1562.9,0.22,0
SHP00149,China,Nigeria,Electronics,520942,1181,115017,Rail,Shanghai,Cairo,37,Delayed,114430,Credit,1.52,560.49,0.2,1
SHP00150,China,Ethiopia,Minerals,260300,3860,101122,Ship,Beijing,Cairo,31,On-Time,100598,On Delivery,4.08,1441.95,0.29,0
SHP00151,China,Ethiopia,Minerals,100610,1821,63606,Ship,Beijing,Addis Ababa,12,On-Time,63988,Credit,37.29,2198.15,0.01,0
SHP00152,China,Nigeria,Textiles,260300,3550,38933,Rail,Guangzhou,Dar es Salaam,32,Delayed,38078,Credit,17.5,131.07,0.02,0
SHP00153,China,Egypt,Electronics,847130,2682,140566,Rail,Beijing,Addis Ababa,26,On-Time,139752,Prepaid,66.57,2360.1,0.05,1
SHP00154,China,Kenya,Minerals,847130,4855,136878,Ship,Guangzhou,Durban,26,On-Time,137746,Credit,69.26,2231.34,0.04,1
SHP00155,China,Ethiopia,Electronics,847130,934,69754,Air,Shenzhen,Durban,12,On-Time,69578,Credit,16.6,563.38,0.39,0
SHP00156,China,South Africa,Textiles,847130,3895,78781,Ship,Shenzhen,Tema,25,Delayed,78903,Credit,42.41,1577.47,0.14,0
SHP00157,China,Ghana,Minerals,520942,2516,117855,Rail,Shenzhen,Lagos,5,Delayed,117635,On Delivery,16.83,1613.24,0.3,0
SHP00158,China,Tanzania,Agricultural,847130,1983,88300,Rail,Qingdao,Lagos,36,On-Time,88251,On Delivery,19.69,392.9,0.45,1
SHP00159,China,Ghana,Minerals,260300,1405,99377,Ship,Qingdao,Dar es Salaam,11,On-Time,99937,Prepaid,39.23,265.53,0.21,0
SHP00160,China,Egypt,Machinery,847130,1024,74669,Road,Qingdao,Addis Ababa,10,On-Time,74868,On Delivery,35.47,247.73,0.12,0
SHP00161,China,South Africa,Electronics,260300,3070,46755,Road,Shenzhen,Mombasa,7,Delayed,46892,Prepaid,35.42,1444.36,0.3,0
SHP00162,China,Ethiopia,Textiles,843890,2795,133322,Road,Qingdao,Dar es Salaam,36,On-Time,134318,Prepaid,19.79,2636.5,0.4,0
SHP00163,China,Nigeria,Electronics,847130,3289,110228,Road,Shenzhen,Lagos,27,Delayed,109583,Credit,43.87,2259.39,0.09,0
SHP00164,China,Ethiopia,Textiles,100610,606,79553,Road,Guangzhou,Cairo,33,Delayed,79970,Credit,57.67,689.73,0.46,1
SHP00165,China,South Africa,Machinery,843890,2179,131209,Rail,Beijing,Addis Ababa,16,On-Time,131756,Credit,1.94,864.68,0.31,1
SHP00166,China,South Africa,Electronics,100610,1186,133232,Air,Beijing,Lagos,19,On-Time,133097,Credit,44.93,1622.26,0.39,0
SHP00167,China,Egypt,Machinery,843890,2564,34257,Ship,Shenzhen,Tema,34,Delayed,34692,Credit,44.83,2796.42,0.06,0
SHP00168,China,Egypt,Minerals,100610,1937,120953,Rail,Guangzhou,Durban,6,On-Time,120993,Credit,54.31,2127.17,0.24,0
SHP00169,China,Egypt,Agricultural,847130,71,25953,Ship,Shanghai,Cairo,20,Delayed,25656,Credit,47.81,1340.65,0.33,0
SHP00170,China,Egypt,Machinery,520942,2478,32083,Air,Shenzhen,Cairo,9,On-Time,32139,On Delivery,23.67,1468.49,0.39,0
SHP00171,China,Ghana,Agricultural,100610,4715,16745,Rail,Qingdao,Tema,36,Delayed,16867,On Delivery,32.42,495.05,0.4,1
SHP00172,China,Egypt,Agricultural,520942,2254,28411,Air,Guangzhou,Durban,34,On-Time,28384,Credit,17.26,398.35,0.44,1
SHP00173,China,Tanzania,Electronics,847130,3503,102883,Road,Shenzhen,Cairo,31,Delayed,103882,Credit,60.23,2893.74,0.38,0
SHP00174,China,Ghana,Minerals,520942,4715,138052,Rail,Qingdao,Addis Ababa,37,On-Time,137844,On Delivery,50.47,1690.44,0.24,0
SHP00175,China,Egypt,Agricultural,100610,3660,26563,Rail,Qingdao,Tema,27,Delayed,26895,Credit,12.03,1363.81,0.27,0
SHP00176,China,Tanzania,Textiles,260300,4494,87879,Air,Beijing,Lagos,26,Delayed,87777,Credit,14.2,1388.98,0.01,0
SHP00177,China,South Africa,Minerals,847130,3394,33541,Air,Guangzhou,Dar es Salaam,22,On-Time,34242,On Delivery,16.95,486.67,0.33,0
SHP00178,China,Tanzania,Agricultural,843890,166,59615,Rail,Guangzhou,Tema,10,On-Time,60355,Credit,11.75,1396.47,0.34,0
SHP00179,China,Ethiopia,Electronics,100610,4483,88309,Ship,Beijing,Mombasa,33,On-Time,87319,Credit,49.11,2581.07,0.39,0
SHP00180,China,Ethiopia,Minerals,520942,828,74298,Air,Shenzhen,Dar es Salaam,26,On-Time,73885,On Delivery,69.09,431.77,0.25,1
SHP00181,China,Ethiopia,Machinery,260300,2770,79441,Rail,Shenzhen,Lagos,34,Delayed,80329,Prepaid,36.96,268.16,0.18,0
SHP00182,China,Ghana,Agricultural,260300,967,57326,Rail,Shenzhen,Addis Ababa,4,Delayed,56415,Credit,48.73,2402.76,0.11,0
SHP00183,China,South Africa,Electronics,520942,936,67768,Rail,Guangzhou,Dar es Salaam,13,On-Time,67402,Credit,3.66,2808.96,0.04,0
SHP00184,China,Egypt,Electronics,847130,1489,38320,Ship,Beijing,Lagos,14,Delayed,39033,Credit,44.33,2351.35,0.31,0
SHP00185,China,Ethiopia,Minerals,260300,2480,103511,Ship,Shanghai,Durban,6,On-Time,102532,Credit,32.48,1932.52,0.27,0
SHP00186,China,Egypt,Textiles,260300,4159,116562,Road,Beijing,Addis Ababa,20,On-Time,115648,On Delivery,46.05,1440.44,0.31,0
SHP00187,China,Ethiopia,Textiles,843890,3688,128629,Air,Qingdao,Addis Ababa,38,On-Time,129385,Prepaid,55.59,1977.83,0.25,0
SHP00188,China,Ghana,Machinery,100610,3715,110361,Rail,Shenzhen,Durban,21,On-Time,110736,On Delivery,38.66,1482.36,0.05,0
